Number,Date,Time,Pokazania,Week Day
1,01.01.2018,0:00,296.4,3
2,01.01.2018,0:30,297.6,4
3,01.01.2018,1:00,300.6,5
4,01.01.2018,1:30,299.1,6
5,01.01.2018,2:00,294,7
6,01.01.2018,2:30,295.2,1
7,01.01.2018,3:00,297.3,2
8,01.01.2018,3:30,298.2,3
9,01.01.2018,4:00,293.1,4
10,01.01.2018,4:30,297.9,5
11,01.01.2018,5:00,303.9,6
12,01.01.2018,5:30,300.6,7
13,01.01.2018,6:00,305.4,1
14,01.01.2018,6:30,300.6,2
15,01.01.2018,7:00,302.7,3
16,01.01.2018,7:30,305.7,4
17,01.01.2018,8:00,305.4,5
18,01.01.2018,8:30,300,6
19,01.01.2018,9:00,296.7,7
20,01.01.2018,9:30,290.1,1
21,01.01.2018,10:00,293.7,2
22,01.01.2018,10:30,295.5,3
23,01.01.2018,11:00,288.9,4
24,01.01.2018,11:30,291,5
25,01.01.2018,12:00,294.9,6
26,01.01.2018,12:30,294.6,7
27,01.01.2018,13:00,289.5,1
28,01.01.2018,13:30,293.1,2
29,01.01.2018,14:00,294.9,3
30,01.01.2018,14:30,292.5,4
31,01.01.2018,15:00,288.6,5
32,01.01.2018,15:30,293.7,6
33,01.01.2018,16:00,292.5,7
34,01.01.2018,16:30,296.7,1
35,01.01.2018,17:00,305.1,2
36,01.01.2018,17:30,302.7,3
37,01.01.2018,18:00,301.5,4
38,01.01.2018,18:30,304.5,5
39,01.01.2018,19:00,302.7,6
40,01.01.2018,19:30,300,7
41,01.01.2018,20:00,303.9,1
42,01.01.2018,20:30,303.3,2
43,01.01.2018,21:00,300.3,3
44,01.01.2018,21:30,303.6,4
45,01.01.2018,22:00,306.6,5
46,01.01.2018,22:30,304.5,6
47,01.01.2018,23:00,304.8,7
48,01.01.2018,23:30,298.2,1
49,02.01.2018,0:00,298.5,2
50,02.01.2018,0:30,298.2,3
51,02.01.2018,1:00,297.6,4
52,02.01.2018,1:30,295.8,5
53,02.01.2018,2:00,299.1,6
54,02.01.2018,2:30,296.1,7
55,02.01.2018,3:00,292.8,1
56,02.01.2018,3:30,296.1,2
57,02.01.2018,4:00,300.3,3
58,02.01.2018,4:30,294,4
59,02.01.2018,5:00,303,5
60,02.01.2018,5:30,304.8,6
61,02.01.2018,6:00,299.7,7
62,02.01.2018,6:30,303.9,1
63,02.01.2018,7:00,302.4,2
64,02.01.2018,7:30,303.9,3
65,02.01.2018,8:00,306,4
66,02.01.2018,8:30,296.7,5
67,02.01.2018,9:00,295.8,6
68,02.01.2018,9:30,298.2,7
69,02.01.2018,10:00,296.7,1
70,02.01.2018,10:30,298.8,2
71,02.01.2018,11:00,299.7,3
72,02.01.2018,11:30,298.2,4
73,02.01.2018,12:00,301.5,5
74,02.01.2018,12:30,301.5,6
75,02.01.2018,13:00,296.1,7
76,02.01.2018,13:30,301.5,1
77,02.01.2018,14:00,299.4,2
78,02.01.2018,14:30,299.4,3
79,02.01.2018,15:00,296.1,4
80,02.01.2018,15:30,300,5
81,02.01.2018,16:00,294,6
82,02.01.2018,16:30,307.2,7
83,02.01.2018,17:00,310.8,1
84,02.01.2018,17:30,303.3,2
85,02.01.2018,18:00,308.1,3
86,02.01.2018,18:30,308.1,4
87,02.01.2018,19:00,302.4,5
88,02.01.2018,19:30,304.5,6
89,02.01.2018,20:00,306.9,7
90,02.01.2018,20:30,302.7,1
91,02.01.2018,21:00,306.9,2
92,02.01.2018,21:30,305.1,3
93,02.01.2018,22:00,300.9,4
94,02.01.2018,22:30,305.4,5
95,02.01.2018,23:00,305.4,6
96,02.01.2018,23:30,299.7,7
97,03.01.2018,0:00,296.7,1
98,03.01.2018,0:30,294.9,2
99,03.01.2018,1:00,298.5,3
100,03.01.2018,1:30,295.2,4
101,03.01.2018,2:00,298.5,5
102,03.01.2018,2:30,294,6
103,03.01.2018,3:00,297,7
104,03.01.2018,3:30,297.3,1
105,03.01.2018,4:00,299.1,2
106,03.01.2018,4:30,298.8,3
107,03.01.2018,5:00,302.1,4
108,03.01.2018,5:30,303.9,5
109,03.01.2018,6:00,303.9,6
110,03.01.2018,6:30,304.8,7
111,03.01.2018,7:00,299.4,1
112,03.01.2018,7:30,302.4,2
113,03.01.2018,8:00,305.4,3
114,03.01.2018,8:30,296.1,4
115,03.01.2018,9:00,291.6,5
116,03.01.2018,9:30,293.1,6
117,03.01.2018,10:00,297.6,7
118,03.01.2018,10:30,296.7,1
119,03.01.2018,11:00,292.8,2
120,03.01.2018,11:30,295.8,3
121,03.01.2018,12:00,297.9,4
122,03.01.2018,12:30,297.9,5
123,03.01.2018,13:00,295.5,6
124,03.01.2018,13:30,301.2,7
125,03.01.2018,14:00,306.6,1
126,03.01.2018,14:30,304.8,2
127,03.01.2018,15:00,305.7,3
128,03.01.2018,15:30,304.5,4
129,03.01.2018,16:00,304.5,5
130,03.01.2018,16:30,312.9,6
131,03.01.2018,17:00,315.6,7
132,03.01.2018,17:30,313.8,1
133,03.01.2018,18:00,314.7,2
134,03.01.2018,18:30,313.8,3
135,03.01.2018,19:00,315.6,4
136,03.01.2018,19:30,314.4,5
137,03.01.2018,20:00,315.3,6
138,03.01.2018,20:30,314.7,7
139,03.01.2018,21:00,313.5,1
140,03.01.2018,21:30,313.5,2
